;;;;;;;;;SCA;SCA;SCA Types;SCA Types;SCA Types;SCA Types;SCA Types;SCA Types;GCA;GCA;GCA Types;GCA Types;GCA Types;GCA Types;GCA Types;GCA Types;GCA Types;
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;SCA;SCA90;PassLive;PassDead;Drib;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;Drib;Sh;Fld;Def;OG;Matches
73;Ibrahim Amadou\Ibrahim-Amadou;fr FRA;DFMF;Norwich City;eng Premier League;26;1993;8.4;1;0.12;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
74;Ibrahim Amadou\Ibrahim-Amadou;fr FRA;MF;Leganés;es La Liga;26;1993;8.6;2;0.23;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
75;Romain Amalfitano\Romain-Amalfitano;fr FRA;MF;Dijon;fr Ligue 1;29;1989;18.8;27;1.43;18;0;3;2;3;1;2;0.11;2;0;0;0;0;0;0;Matches
76;Amath\Amath;sn SEN;MF;Getafe;es La Liga;23;1996;0.7;1;1.36;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
77;Jordan Amavi\Jordan-Amavi;fr FRA;DF;Marseille;fr Ligue 1;25;1994;24.0;27;1.12;21;1;1;1;1;2;2;0.08;2;0;0;0;0;0;0;Matches
78;Thierry Ambrose\Thierry-Ambrose;fr FRA;FW;Metz;fr Ligue 1;22;1997;6.1;23;3.78;17;0;4;1;1;0;0;0.00;0;0;0;0;0;0;0;Matches
79;Kelvin Amian\Kelvin-Amian;fr FRA;DF;Toulouse;fr Ligue 1;21;1998;18.1;11;0.61;10;0;0;1;0;0;1;0.06;1;0;0;0;0;0;0;Matches
80;Nadiem Amiri\Nadiem-Amiri;de GER;MFFW;Leverkusen;de Bundesliga;22;1996;20.6;89;4.31;57;22;6;2;2;0;9;0.44;8;0;0;0;1;0;0;Matches
81;Ethan Ampadu\Ethan-Ampadu;wal WAL;DF;RB Leipzig;de Bundesliga;18;2000;0.9;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
82;Opoku Ampomah\Opoku-Ampomah;gh GHA;FW;Düsseldorf;de Bundesliga;23;1996;5.6;17;3.06;11;0;4;1;1;0;0;0.00;0;0;0;0;0;0;0;Matches
