;;;;;;;;;Touches;Touches;Touches;Touches;Touches;Touches;Touches;Dribbles;Dribbles;Dribbles;Dribbles;Dribbles;Carries;Carries;Carries;Receiving;Receiving;Receiving;;;
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Succ;Att;Succ%;#Pl;Megs;Carries;TotDist;PrgDist;Targ;Rec;Rec%;Miscon;Dispos;Matches
1491;Alexis Mac Allister\Alexis-Mac-Allister;ar ARG;MFFW;Brighton;eng Premier League;20;1998;3.9;183;2;25;72;93;6;152;3;6;50.0;4;0;89;431;232;120;94;78.3;7;9;Matches
1492;Darwin Machís\Darwin-Machis;ve VEN;FWMF;Granada;es La Liga;26;1993;23.7;896;22;126;335;529;82;821;51;87;58.6;52;5;637;5622;3892;815;560;68.7;51;36;Matches
1493;Yvann Macon\Yvann-Macon;fr FRA;DF;Saint-Étienne;fr Ligue 1;20;1998;1.1;84;1;25;41;25;0;65;1;1;100.0;1;0;37;143;84;42;36;85.7;0;2;Matches
1494;James Maddison\James-Maddison;eng ENG;MF;Leicester City;eng Premier League;22;1996;29.2;2010;20;213;1043;871;83;1779;56;83;67.5;58;6;1455;7733;3581;1651;1439;87.2;46;47;Matches
1495;Lisandro Magallán\Lisandro-Magallan;ar ARG;DF;Alavés;es La Liga;25;1993;13.3;566;78;335;260;12;9;540;2;3;66.7;2;0;274;1669;808;293;278;94.9;3;3;Matches
1496;Francesco Magnanelli\Francesco-Magnanelli;it ITA;MF;Sassuolo;it Serie A;34;1984;15.5;1318;70;317;847;207;3;1258;9;10;90.0;9;0;871;3473;1563;982;942;95.9;5;9;Matches
1497;Giangiacomo Magnani\Giangiacomo-Magnani;it ITA;DFMF;Brescia;it Serie A;23;1995;1.3;52;12;33;16;5;5;52;1;1;100.0;1;0;30;131;77;32;31;96.9;0;1;Matches
1498;Giangiacomo Magnani\Giangiacomo-Magnani;it ITA;DF;Sassuolo;it Serie A;23;1995;1.6;97;9;40;56;4;3;92;0;0;;0;0;58;289;151;61;60;98.4;1;0;Matches
1499;Hugo Magnetti\Hugo-Magnetti;fr FRA;MF;Brest;fr Ligue 1;21;1998;2.6;211;12;63;123;47;3;210;3;4;75.0;3;0;139;839;492;139;135;97.1;2;3;Matches
1500;Harry Maguire\Harry-Maguire;eng ENG;DF;Manchester Utd;eng Premier League;26;1993;38.0;2828;429;1432;1468;166;57;2756;10;13;76.9;10;0;1833;14294;8411;1959;1915;97.8;7;10;Matches
1501;Abdallahi Mahmoud\Abdallahi-Mahmoud;mr MTN;MF;Alavés;es La Liga;19;2000;1.7;61;5;17;43;4;0;61;3;4;75.0;3;0;37;211;101;36;35;97.2;3;2;Matches
1502;Riyad Mahrez\Riyad-Mahrez;dz ALG;FW;Manchester City;eng Premier League;28;1991;21.6;1476;24;122;605;873;150;1401;60;93;64.5;61;1;1154;7916;4573;1367;1154;84.4;33;39;Matches
1503;Thiago Maia\Thiago-Maia;br BRA;MF;Lille;fr Ligue 1;22;1997;0.5;44;2;6;33;6;0;41;0;0;;0;0;27;134;43;29;27;93.1;0;1;Matches
1504;Arne Maier\Arne-Maier;de GER;MF;Hertha BSC;de Bundesliga;20;1999;5.9;381;11;84;226;95;4;368;7;7;100.0;7;0;274;1651;838;296;271;91.6;8;10;Matches
1505;Habib Maïga\Habib-Maiga;ci CIV;MF;Metz;fr Ligue 1;23;1996;25.2;1647;51;408;1050;317;30;1628;36;48;75.0;36;0;1173;7319;3489;1194;1092;91.5;33;33;Matches
1506;Mike Maignan\Mike-Maignan;fr FRA;GK;Lille;fr Ligue 1;23;1995;28.0;804;714;800;2;3;1;530;0;0;;0;0;366;2213;1331;285;283;99.3;0;0;Matches
1507;Ainsley Maitland-Niles\Ainsley-Maitland-Niles;eng ENG;DF;Arsenal;eng Premier League;21;1997;15.4;1179;74;451;570;229;18;1002;22;44;50.0;25;2;727;3900;2272;768;731;95.2;13;16;Matches
1508;Josh Maja\Josh-Maja;ng NGA;FW;Bordeaux;fr Ligue 1;20;1998;8.2;306;8;28;175;120;29;291;16;23;69.6;18;0;228;1069;483;377;223;59.2;25;14;Matches
1509;Abdul Majeed Waris\Abdul-Majeed-Waris;gh GHA;FW;Strasbourg;fr Ligue 1;27;1991;4.1;157;1;24;76;77;12;155;9;20;45.0;12;0;132;994;732;169;116;68.6;11;13;Matches
1510;Žan Majer\Zan-Majer;si SVN;MF;Lecce;it Serie A;27;1992;18.5;938;49;277;474;252;23;909;13;24;54.2;13;1;605;3867;2165;683;598;87.6;18;19;Matches
1511;Jean-Victor Makengo\Jean-Victor-Makengo;fr FRA;MFFW;Toulouse;fr Ligue 1;21;1998;11.0;569;10;103;351;170;13;564;17;31;54.8;20;1;480;3334;1946;530;457;86.2;21;21;Matches
1512;Nemanja Maksimovi?\Nemanja-Maksimovic;rs SRB;MF;Getafe;es La Liga;24;1995;32.2;988;45;184;584;259;51;925;8;14;57.1;10;0;390;2222;1007;552;396;71.7;19;10;Matches
1513;Nikola Maksimovi?\Nikola-Maksimovic;rs SRB;DF;Napoli;it Serie A;27;1991;20.0;1546;233;789;782;77;21;1501;6;9;66.7;6;1;1079;6570;3779;1163;1151;99.0;2;5;Matches
1514;Kévin Malcuit\Kevin-Malcuit;ma MAR;DF;Napoli;it Serie A;28;1991;2.8;203;5;58;92;64;4;168;6;9;66.7;6;1;133;709;393;140;123;87.9;2;2;Matches
1515;Daniel Maldini\Daniel-Maldini;it ITA;FW;Milan;it Serie A;17;2001;0.3;21;0;3;9;12;2;21;0;1;0.0;0;0;13;104;66;22;17;77.3;2;0;Matches
1516;Ruslan Malinovskyi\Ruslan-Malinovskyi;ua UKR;MFFW;Atalanta;it Serie A;26;1993;17.1;1267;5;97;617;671;47;1176;60;82;73.2;60;0;1022;6430;3330;1110;972;87.6;43;45;Matches
1517;Yunus Mall?\Yunus-Malli;tr TUR;FWMF;Union Berlin;de Bundesliga;27;1992;7.5;303;7;44;155;130;16;295;5;11;45.5;5;0;200;1237;675;290;220;75.9;19;15;Matches
1518;Hugo Mallo\Hugo-Mallo;es ESP;DF;Celta Vigo;es La Liga;28;1991;21.8;1570;90;501;729;418;20;1308;8;12;66.7;8;0;810;3942;1980;951;866;91.1;17;12;Matches
1519;Streli Mamba\Streli-Mamba;de GER;FW;Paderborn 07;de Bundesliga;25;1994;16.9;466;8;50;253;196;55;433;16;29;55.2;18;1;314;2297;1276;574;299;52.1;43;33;Matches
1520;Hianga Mananga Mbock\Hianga-Mananga-Mbock;fr FRA;MF;Brest;fr Ligue 1;19;1999;1.6;105;4;40;59;17;4;105;2;2;100.0;2;0;69;461;217;70;65;92.9;0;3;Matches
1521;Vincent Manceau\Vincent-Manceau;fr FRA;DF;Angers;fr Ligue 1;30;1989;22.0;1535;64;477;738;394;15;1285;6;14;42.9;6;1;910;3858;2032;971;919;94.6;12;14;Matches
1522;Gianluca Mancini\Gianluca-Mancini;it ITA;DFMF;Roma;it Serie A;23;1996;30.4;1973;247;936;1046;140;33;1913;10;14;71.4;10;0;1303;8183;4651;1410;1373;97.4;10;10;Matches
1523;Marco Mancosu\Marco-Mancosu;it ITA;MFFW;Lecce;it Serie A;30;1988;27.1;1200;37;221;592;479;110;1160;27;42;64.3;28;0;763;5237;3263;1092;863;79.0;47;28;Matches
1524;Steve Mandanda\Steve-Mandanda;fr FRA;GK;Marseille;fr Ligue 1;34;1985;26.3;906;794;902;6;0;0;687;1;2;50.0;1;0;493;2266;1128;416;413;99.3;1;0;Matches
1525;Reinildo Mandava\Reinildo-Mandava;mz MOZ;DF;Lille;fr Ligue 1;25;1994;12.3;797;29;167;448;229;11;691;12;20;60.0;13;0;485;2428;1352;475;441;92.8;8;11;Matches
1526;Aïssa Mandi\Aissa-Mandi;dz ALG;DF;Betis;es La Liga;27;1991;28.6;2047;313;1110;987;62;19;1951;6;9;66.7;8;0;1338;6560;3212;1479;1451;98.1;4;4;Matches
1527;Rolando Mandragora\Rolando-Mandragora;it ITA;MF;Udinese;it Serie A;22;1997;22.8;1245;36;271;626;392;48;1158;13;30;43.3;14;1;720;2820;1416;905;782;86.4;20;19;Matches
1528;Sadio Mané\Sadio-Mane;sn SEN;FW;Liverpool;eng Premier League;27;1992;30.5;1590;13;125;629;1000;219;1572;76;116;65.5;84;6;1248;9679;5436;1843;1275;69.2;85;72;Matches
1529;Eliaquim Mangala\Eliaquim-Mangala;fr FRA;DF;Valencia;es La Liga;28;1991;7.5;353;70;216;145;6;4;347;0;1;0.0;0;0;205;914;325;229;225;98.3;1;1;Matches
1530;Thomas Mangani\Thomas-Mangani;fr FRA;MF;Angers;fr Ligue 1;32;1987;20.8;1560;34;304;923;437;35;1404;23;28;82.1;24;1;1021;5050;2427;1161;1070;92.2;19;25;Matches
1531;Massimiliano Mangraviti\Massimiliano-Mangraviti;it ITA;DF;Brescia;it Serie A;21;1998;10.8;540;75;283;232;48;4;479;0;0;;0;0;301;1830;1070;319;309;96.9;3;1;Matches
1532;Kostas Manolas\Kostas-Manolas;gr GRE;DF;Napoli;it Serie A;28;1991;24.2;1677;244;850;909;38;24;1630;2;2;100.0;2;0;1092;6611;3726;1220;1209;99.1;5;2;Matches
1533;Javier Manquillo\Javier-Manquillo;es ESP;DF;Newcastle Utd;eng Premier League;25;1994;17.8;815;77;319;324;212;14;685;13;20;65.0;14;0;406;2319;1352;458;401;87.6;15;8;Matches
1534;Giacomo Manzari\Giacomo-Manzari;it ITA;FWMF;Sassuolo;it Serie A;18;2000;0.2;8;0;1;6;2;0;8;1;1;100.0;1;0;5;29;25;8;5;62.5;1;0;Matches
1535;Myziane Maolida\Myziane-Maolida;fr FRA;FWMF;Nice;fr Ligue 1;20;1999;7.5;415;5;63;199;190;41;411;12;22;54.5;14;0;347;2561;1840;397;325;81.9;15;22;Matches
1536;Faitout Maouassa\Faitout-Maouassa;fr FRA;DF;Rennes;fr Ligue 1;21;1998;20.0;1284;69;437;662;279;13;1076;28;52;53.8;30;1;762;5141;3312;794;724;91.2;16;29;Matches
1537;Fernando Marçal\Fernando-Marcal;br BRA;DF;Lyon;fr Ligue 1;30;1989;9.2;866;36;253;502;175;7;780;9;13;69.2;9;0;551;3171;1849;556;537;96.6;4;5;Matches
1538;Marcelo\Marcelo;br BRA;DF;Real Madrid;es La Liga;31;1988;14.4;1212;46;239;586;462;45;1087;10;13;76.9;10;0;824;4155;2597;946;871;92.1;19;14;Matches
1539;Marcelo\Marcelo;br BRA;DF;Lyon;fr Ligue 1;32;1987;16.7;1333;152;644;736;35;17;1296;0;1;0.0;0;0;824;4529;2478;918;905;98.6;2;2;Matches
1540;Solly March\Solly-March;eng ENG;DFFW;Brighton;eng Premier League;25;1994;12.7;759;22;139;317;363;47;675;18;30;60.0;19;1;518;3773;2175;585;484;82.7;12;28;Matches
1541;Gian Marco Ferrari\Gian-Marco-Ferrari;it ITA;DF;Sassuolo;it Serie A;27;1992;21.1;1610;246;733;956;55;21;1561;4;4;100.0;4;0;1195;7884;5046;1290;1273;98.7;6;5;Matches
1542;Óscar de Marcos\Oscar-de-Marcos;es ESP;DFFW;Athletic Club;es La Liga;30;1989;6.0;275;13;58;132;99;3;242;2;4;50.0;2;0;147;935;502;217;164;75.6;6;3;Matches
1543;Dario Maresic\Dario-Maresic;at AUT;DF;Reims;fr Ligue 1;19;1999;1.0;73;10;46;33;0;0;72;0;0;;0;0;48;349;210;55;55;100.0;0;0;Matches
1544;Miguel Marí\Miguel-Mari;es ESP;MF;Eibar;es La Liga;22;1997;0.1;5;0;0;4;1;0;5;0;0;;0;0;2;3;2;1;1;100.0;0;0;Matches
1545;Pablo Marí\Pablo-Mari;es ESP;DF;Arsenal;eng Premier League;25;1993;1.3;111;21;52;65;1;0;110;0;0;;0;0;70;503;335;82;81;98.8;0;0;Matches
1546;José María Giménez\Jose-Maria-Gimenez;uy URU;DF;Atlético Madrid;es La Liga;24;1995;19.5;1040;142;582;503;24;15;987;1;1;100.0;1;0;601;2920;1625;635;622;98.0;3;2;Matches
1547;Mariano\Mariano;do DOM;FW;Real Madrid;es La Liga;25;1993;0.5;23;0;1;9;13;6;21;2;2;100.0;2;0;14;92;73;31;15;48.4;2;0;Matches
1548;Adrian Mariappa\Adrian-Mariappa;jm JAM;DF;Watford;eng Premier League;32;1986;16.8;762;84;316;343;121;5;628;1;3;33.3;2;0;315;1048;434;346;330;95.4;5;3;Matches
1549;Jordan Marié\Jordan-Marie;fr FRA;MF;Dijon;fr Ligue 1;27;1991;2.2;140;4;35;83;28;0;134;3;4;75.0;3;0;96;384;175;101;87;86.1;3;6;Matches
1550;Federico Marigosu\Federico-Marigosu;it ITA;MF;Cagliari;it Serie A;18;2001;0.3;18;0;4;7;8;1;18;0;0;;0;0;11;92;40;21;17;81.0;0;0;Matches
1551;Adrián Marín\Adrian-Marin;es ESP;DF;Alavés;es La Liga;22;1997;9.5;466;39;165;225;99;7;368;8;22;36.4;10;3;226;1238;793;224;207;92.4;5;6;Matches
1552;Guillermo Maripán\Guillermo-Maripan;cl CHI;DF;Alavés;es La Liga;25;1994;1.0;21;4;15;6;0;0;20;0;0;;0;0;8;32;15;5;5;100.0;0;0;Matches
1553;Guillermo Maripán\Guillermo-Maripan;cl CHI;DF;Monaco;fr Ligue 1;25;1994;19.5;1262;146;631;676;52;18;1225;3;6;50.0;4;1;833;4663;2713;872;850;97.5;4;3;Matches
1554;Marlon\Marlon;br BRA;DF;Sassuolo;it Serie A;23;1995;20.2;1641;227;794;939;33;5;1608;6;6;100.0;6;0;1189;7084;4225;1271;1259;99.1;2;2;Matches
1555;Omar Marmoush\Omar-Marmoush;eg EGY;MFFW;Wolfsburg;de Bundesliga;20;1999;0.9;33;2;5;16;13;2;33;1;7;14.3;1;0;25;224;123;23;19;82.6;1;5;Matches
1556;Gonzalo Maroni\Gonzalo-Maroni;ar ARG;MF;Sampdoria;it Serie A;20;1999;2.0;105;1;10;59;54;6;94;2;3;66.7;2;0;82;857;570;86;73;84.9;3;2;Matches
1557;Marquinhos\Marquinhos;br BRA;MFDF;Paris S-G;fr Ligue 1;25;1994;16.4;1453;98;493;930;127;17;1429;9;10;90.0;10;0;1046;5233;2616;1136;1105;97.3;4;10;Matches
1558;Bruno Martella\Bruno-Martella;it ITA;DFMF;Brescia;it Serie A;26;1992;14.1;719;74;286;282;197;9;617;12;25;48.0;13;1;405;2448;1554;455;408;89.7;12;12;Matches
1559;Roger Martí\Roger-Marti;es ESP;FW;Levante;es La Liga;28;1991;25.2;710;14;71;360;312;95;694;12;26;46.2;13;2;446;2216;1038;1022;514;50.3;63;26;Matches
1560;Anthony Martial\Anthony-Martial;fr FRA;FW;Manchester Utd;eng Premier League;23;1995;29.2;1074;18;51;400;692;188;1048;64;104;61.5;66;2;892;5737;3206;1399;897;64.1;66;68;Matches
1561;Aarón Martín\Aaron-Martin;es ESP;DF;Mainz 05;de Bundesliga;22;1997;19.9;1081;50;290;490;375;13;819;24;40;60.0;26;1;592;3953;2164;610;527;86.4;13;12;Matches
1562;Daniel Martín\Daniel-Martin;es ESP;GK;Betis;es La Liga;21;1998;5.9;201;168;198;3;0;0;153;0;0;;0;0;106;449;271;99;99;100.0;0;0;Matches
1563;David Martin\David-Martin;eng ENG;GK;West Ham;eng Premier League;33;1986;4.8;134;117;134;0;0;0;72;0;0;;0;0;44;254;162;31;31;100.0;0;0;Matches
1564;Jonas Martin\Jonas-Martin;fr FRA;MF;Rennes;fr Ligue 1;29;1990;1.3;93;6;26;57;15;3;88;0;0;;0;0;61;258;129;60;57;95.0;3;1;Matches
1565;Jonas Martin\Jonas-Martin;fr FRA;MF;Strasbourg;fr Ligue 1;29;1990;2.7;215;4;47;139;39;3;195;3;3;100.0;3;0;152;730;372;159;151;95.0;4;6;Matches
1566;Josh Martin\Josh-Martin;eng ENG;FW;Norwich City;eng Premier League;17;2001;0.4;20;0;3;12;5;1;20;1;1;100.0;1;0;16;123;21;20;15;75.0;1;1;Matches
1567;Martinelli\Martinelli;br BRA;FW;Arsenal;eng Premier League;18;2001;7.4;275;10;62;111;131;40;273;11;29;37.9;12;0;189;1839;1245;311;181;58.2;24;21;Matches
1568;Álex Martínez\Alex-Martinez;es ESP;DF;Granada;es La Liga;28;1990;0.2;10;0;1;4;7;0;6;0;0;;0;0;5;46;39;5;5;100.0;0;0;Matches
1569;Emiliano Martínez\Emiliano-Martinez;ar ARG;GK;Arsenal;eng Premier League;26;1992;8.6;308;275;308;0;0;0;226;0;0;;0;0;148;589;303;135;135;100.0;0;0;Matches
1570;Iñigo Martínez\Inigo-Martinez;es ESP;DF;Athletic Club;es La Liga;28;1991;33.0;1904;190;962;997;111;31;1789;8;11;72.7;8;0;1050;7325;3949;1089;1055;96.9;2;7;Matches
1571;Javi Martínez\Javi-Martinez;es ESP;MF;Osasuna;es La Liga;19;1999;0.1;9;1;1;3;6;1;9;0;0;;0;0;7;58;23;7;7;100.0;2;1;Matches
1572;Javi Martínez\Javi-Martinez;es ESP;DFMF;Bayern Munich;de Bundesliga;30;1988;7.5;675;53;290;400;25;3;668;3;4;75.0;3;0;452;2428;1208;491;481;98.0;1;0;Matches
1573;Lautaro Martínez\Lautaro-Martinez;ar ARG;FW;Inter;it Serie A;21;1997;27.2;978;14;58;375;604;238;956;47;83;56.6;51;2;670;3974;2546;1217;714;58.7;86;60;Matches
1574;Pablo Martinez\Pablo-Martinez;fr FRA;DF;Nîmes;fr Ligue 1;30;1989;26.0;1340;169;818;604;46;18;1289;6;7;85.7;6;0;755;5438;3259;757;737;97.4;5;7;Matches
1575;Pablo Martínez\Pablo-Martinez;es ESP;MFFW;Levante;es La Liga;21;1998;0.4;31;5;13;11;8;2;28;0;2;0.0;0;0;15;119;52;17;13;76.5;1;2;Matches
1576;Gelson Martins\Gelson-Martins;pt POR;DFFW;Monaco;fr Ligue 1;24;1995;18.6;1018;20;177;479;462;83;945;61;104;58.7;64;3;827;7141;4443;898;704;78.4;31;35;Matches
1577;Adam Maruši?\Adam-Marusic;me MNE;DF;Lazio;it Serie A;26;1992;10.5;497;29;155;175;189;30;425;9;18;50.0;12;1;313;1582;825;335;296;88.4;6;11;Matches
1578;Omar Mascarell\Omar-Mascarell;es ESP;MF;Schalke 04;de Bundesliga;26;1993;22.5;1532;106;627;895;111;6;1487;11;15;73.3;12;1;958;5719;2314;963;925;96.1;6;8;Matches
1579;Andrea Masiello\Andrea-Masiello;it ITA;DF;Genoa;it Serie A;33;1986;14.7;938;102;409;483;103;13;880;6;7;85.7;6;0;579;3072;1765;623;618;99.2;2;5;Matches
1580;Andrea Masiello\Andrea-Masiello;it ITA;DF;Atalanta;it Serie A;33;1986;6.0;358;28;161;189;25;0;335;1;1;100.0;1;0;215;986;503;224;220;98.2;0;2;Matches
1581;Adam Masina\Adam-Masina;it ITA;DF;Watford;eng Premier League;25;1994;20.2;1186;102;392;567;269;21;973;11;18;61.1;11;0;535;2661;1350;568;523;92.1;11;13;Matches
1582;Jordi Masip\Jordi-Masip;es ESP;GK;Valladolid;es La Liga;30;1989;35.0;1107;1006;1103;4;1;0;656;0;0;;0;0;417;2795;1789;345;343;99.4;0;0;Matches
1583;Arthur Masuaku\Arthur-Masuaku;cd COD;DF;West Ham;eng Premier League;25;1993;10.4;745;52;240;385;174;14;659;31;39;79.5;31;1;489;3269;2056;463;424;91.6;9;23;Matches
1584;Jaime Mata\Jaime-Mata;es ESP;FW;Getafe;es La Liga;30;1988;30.5;1136;16;71;494;611;139;1122;18;37;48.6;23;1;692;3007;1185;1632;876;53.7;91;54;Matches
1585;Juan Mata\Juan-Mata;es ESP;MFFW;Manchester Utd;eng Premier League;31;1988;8.4;589;3;36;320;266;33;560;5;12;41.7;7;0;459;2237;1120;605;489;80.8;10;12;Matches
1586;Aleš Mat?j?\Ales-Mateju;cz CZE;DF;Brescia;it Serie A;23;1996;28.3;1437;222;776;581;175;17;1296;18;19;94.7;18;0;791;5592;2760;805;760;94.4;10;10;Matches
1587;Jean-Philippe Mateta\Jean-Philippe-Mateta;fr FRA;FW;Mainz 05;de Bundesliga;22;1997;11.7;355;14;25;175;173;64;330;19;31;61.3;20;2;225;1224;519;491;255;51.9;44;23;Matches
1588;Nemanja Mati?\Nemanja-Matic;rs SRB;MF;Manchester Utd;eng Premier League;30;1988;17.6;1416;55;391;903;246;9;1388;23;29;79.3;24;0;1002;6305;3690;1053;1014;96.3;10;24;Matches
1589;Joël Matip\Joel-Matip;cm CMR;DF;Liverpool;eng Premier League;27;1991;7.8;626;49;278;361;32;8;610;2;2;100.0;2;0;398;2518;1771;412;408;99.0;1;2;Matches
1590;Rabbi Matondo\Rabbi-Matondo;wal WAL;FWMF;Schalke 04;de Bundesliga;18;2000;12.9;421;1;36;149;276;56;411;32;62;51.6;33;1;334;3033;1926;539;305;56.6;47;34;Matches
1591;Alessandro Matri\Alessandro-Matri;it ITA;FWMF;Brescia;it Serie A;34;1984;1.0;50;1;2;20;30;11;46;2;5;40.0;3;0;34;83;17;72;41;56.9;1;8;Matches
1592;Federico Mattiello\Federico-Mattiello;it ITA;DF;Cagliari;it Serie A;24;1995;10.3;549;42;172;251;172;12;505;10;16;62.5;11;0;356;2649;1594;363;322;88.7;6;12;Matches
1593;Blaise Matuidi\Blaise-Matuidi;fr FRA;MF;Juventus;it Serie A;32;1987;24.9;1374;28;213;787;425;50;1334;13;28;46.4;16;2;903;3619;1471;1186;1017;85.8;30;32;Matches
1594;Neal Maupay\Neal-Maupay;fr FRA;FW;Brighton;eng Premier League;22;1996;30.7;1063;16;79;445;597;190;999;34;70;48.6;36;1;774;5008;2544;1440;763;53.0;57;70;Matches
1595;Stephy Mavididi\Stephy-Mavididi;eng ENG;FWMF;Dijon;fr Ligue 1;21;1998;15.5;582;10;96;309;244;55;574;39;76;51.3;46;2;472;4080;2396;645;417;64.7;45;49;Matches
1596;Philipp Max\Philipp-Max;de GER;DF;Augsburg;de Bundesliga;25;1993;30.1;1680;71;507;777;514;33;1238;8;10;80.0;8;0;835;4958;2661;965;808;83.7;28;17;Matches
1597;Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting;cm CMR;FWMF;Paris S-G;fr Ligue 1;30;1989;5.0;180;3;15;63;112;31;176;12;18;66.7;13;2;123;752;387;206;135;65.5;11;14;Matches
1598;Alexandru Maxim\Alexandru-Maxim;ro ROU;MF;Mainz 05;de Bundesliga;29;1990;1.3;101;0;12;48;49;7;84;6;8;75.0;6;0;66;461;249;73;61;83.6;4;4;Matches
1599;Kévin Mayi\Kevin-Mayi;fr FRA;FW;Brest;fr Ligue 1;26;1993;0.0;1;0;0;0;1;0;1;0;1;0.0;0;0;1;2;1;1;1;100.0;0;0;Matches
1600;Borja Mayoral\Borja-Mayoral;es ESP;FW;Levante;es La Liga;22;1997;23.8;782;17;68;424;345;87;758;30;57;52.6;32;2;589;3396;1507;980;604;61.6;35;50;Matches
1601;Luca Mazzitelli\Luca-Mazzitelli;it ITA;MF;Sassuolo;it Serie A;23;1995;0.1;31;0;1;27;5;0;31;0;0;;0;0;21;82;47;27;23;85.2;0;0;Matches
1602;Kevin Mbabu\Kevin-Mbabu;ch SUI;DF;Wolfsburg;de Bundesliga;24;1995;18.8;1217;75;326;564;403;40;991;52;80;65.0;55;3;667;4457;2771;692;601;86.8;29;27;Matches
1603;Kylian Mbappé\Kylian-Mbappe;fr FRA;FW;Paris S-G;fr Ligue 1;20;1998;16.8;937;2;24;344;647;208;904;59;115;51.3;70;4;777;5887;4153;1040;813;78.2;44;43;Matches
1604;Ibrahima Mbaye\Ibrahima-Mbaye;sn SEN;DF;Bologna;it Serie A;24;1994;16.7;992;80;380;489;178;11;833;11;15;73.3;12;1;576;3104;1513;613;575;93.8;7;9;Matches
1605;Loïc Mbe Soh\Loic-Mbe-Soh;fr FRA;DF;Paris S-G;fr Ligue 1;18;2001;0.6;83;1;17;48;24;0;79;0;1;0.0;0;0;58;142;66;71;69;97.2;1;0;Matches
1606;Isaac Mbenza\Isaac-Mbenza;be BEL;FW;Amiens;fr Ligue 1;23;1996;0.9;48;1;7;23;23;5;42;1;4;25.0;1;0;38;322;218;39;36;92.3;0;2;Matches
1607;Nathanael Mbuku\Nathanael-Mbuku;fr FRA;MFFW;Reims;fr Ligue 1;17;2002;4.4;183;0;30;91;75;18;177;14;24;58.3;14;0;147;1058;651;175;135;77.1;6;11;Matches
1608;James McArthur\James-McArthur;sco SCO;MF;Crystal Palace;eng Premier League;31;1987;34.3;1935;109;480;1038;518;104;1868;32;49;65.3;33;1;1249;6663;3188;1347;1178;87.5;42;44;Matches
1609;Oliver McBurnie\Oliver-McBurnie;sco SCO;FW;Sheffield Utd;eng Premier League;23;1996;23.5;933;50;114;405;461;114;917;25;44;56.8;26;1;436;2466;1234;1211;636;52.5;52;42;Matches
1610;Alex McCarthy\Alex-McCarthy;eng ENG;GK;Southampton;eng Premier League;29;1989;28.0;896;710;892;6;0;0;617;2;2;100.0;2;0;392;1923;1058;354;353;99.7;1;0;Matches
1611;James McCarthy\James-McCarthy;ie IRL;MF;Crystal Palace;eng Premier League;28;1990;18.7;1018;35;238;623;205;15;948;6;11;54.5;9;2;517;2437;894;606;539;88.9;11;15;Matches
1612;John McGinn\John-McGinn;sco SCO;MF;Aston Villa;eng Premier League;24;1994;25.7;1105;43;215;532;439;75;1042;53;69;76.8;55;0;769;5339;2811;826;684;82.8;37;57;Matches
1613;David McGoldrick\David-McGoldrick;ie IRL;FW;Sheffield Utd;eng Premier League;31;1987;20.2;895;25;95;418;425;66;881;31;47;66.0;34;2;566;3074;1269;1088;657;60.4;57;31;Matches
1614;Michael McGovern\Michael-McGovern;nir NIR;GK;Norwich City;eng Premier League;35;1984;1.8;57;52;57;0;0;0;38;0;0;;0;0;22;94;47;20;20;100.0;0;0;Matches
1615;Weston McKennie\Weston-McKennie;us USA;MFDF;Schalke 04;de Bundesliga;20;1998;23.0;1345;78;408;735;303;50;1306;26;44;59.1;28;0;810;4929;2854;989;842;85.1;28;24;Matches
1616;Kenny McLean\Kenny-McLean;sco SCO;MF;Norwich City;eng Premier League;27;1992;33.0;2028;108;569;1140;457;27;1950;34;49;69.4;36;5;1309;7143;3554;1623;1403;86.4;40;38;Matches
1617;Dwight McNeil\Dwight-McNeil;eng ENG;MF;Burnley;eng Premier League;19;1999;37.1;1700;50;292;859;747;51;1575;80;135;59.3;84;6;1277;11291;5740;1236;1037;83.9;39;81;Matches
1618;Scott McTominay\Scott-McTominay;sco SCO;MF;Manchester Utd;eng Premier League;22;1996;19.7;1289;69;324;782;258;23;1268;31;47;66.0;35;5;910;5100;2451;915;850;92.9;24;32;Matches
1619;Biagio Meccariello\Biagio-Meccariello;it ITA;DF;Lecce;it Serie A;28;1991;8.5;490;59;251;200;64;11;448;6;8;75.0;6;1;287;1473;810;311;292;93.9;2;1;Matches
1620;Gary Medel\Gary-Medel;cl CHI;MF;Bologna;it Serie A;31;1987;19.8;1256;84;379;788;148;2;1205;12;15;80.0;13;0;772;3734;1927;841;794;94.4;7;9;Matches
1621;Ben Mee\Ben-Mee;eng ENG;DF;Burnley;eng Premier League;29;1989;32.0;1609;236;859;766;54;38;1553;6;7;85.7;6;1;774;3263;1328;815;785;96.3;6;3;Matches
1622;Joshua Mees\Joshua-Mees;de GER;MFFW;Union Berlin;de Bundesliga;23;1996;3.6;122;2;29;46;53;14;121;0;3;0.0;0;0;70;343;191;131;76;58.0;8;3;Matches
1623;Admir Mehmedi\Admir-Mehmedi;ch SUI;MFFW;Wolfsburg;de Bundesliga;28;1991;13.3;711;4;73;362;314;41;658;7;13;53.8;8;0;461;2294;981;731;514;70.3;26;24;Matches
