Player;Nation;Age;Squad;Comp;played_two_leagues;#Prog_Pass;Ast;Att_Drib;Att_Pass;Att_Recep;Blocks;Clr;Cmp_Pass;Def_GCA;Def_SCA;Drib_GCA;Drib_SCA;Fld_GCA;Fld_SCA;GCA;Gls;Int;Live_Touches;Marktvalue;Min;npxG;OG_GCA;Oppon_Drib;PassDead_SCA;PassLive_GCA;PassLive_SCA;Press;Recep;Rk;SCA;Sh_SCA;Succ_Press;Tkl;Tkl+Int;TklW;TotDist_Carried;TotPrgDist_Carried;TotPrgDist_Pass;xA;xG;PassDead_GCA;Sh_GCA
Ashley Barnes;ENG;29;Burnley;Premier League;Falsch;22;0;17;253;706;17;14;155;1;2;0;1;1;5;2;6;5;426;8000000;1352;4.8;0;13;0;0;12;275;298;199;21;1;63;6;11;4;1058;461;552;0.5;5.6;0;0
Jesus Vallejo;ESP;22;Wolves / Granada;Premier League / La Liga;Wahr;17;0;2;326;261;13;54;255;0;0;0;0;0;0;0;0;2;390;6000000;792;0.1;0;2;0;0;1;81;249;5137;1;0;26;8;10;5;1100;518;2290;0.2;0.1;0;0
Georginio Wijnaldum;NED;28;Liverpool;Premier League;Falsch;102;0;78;1628;1635;35;34;1477;0;1;0;5;0;3;3;4;14;1892;40000000;2935;3.1;0;50;0;3;36;489;1441;2661;46;1;160;37;51;29;8143;3620;4629;1.2;3.1;0;0
Dan Axel Zagadou;FRA;20;Dortmund;Bundesliga;Falsch;44;1;6;827;695;25;50;762;0;0;0;0;0;0;1;1;15;924;31500000;983;0.2;0;6;0;1;11;91;688;2696;11;0;44;17;32;12;3883;1891;4912;0.4;0.2;0;0
Neymar;BRA;27;Paris S-G;Ligue 1;Falsch;149;6;151;961;1239;10;1;759;0;0;2;13;1;11;17;13;6;1223;128000000;1318;8.9;1;94;7;13;61;170;1085;1782;96;3;49;14;20;7;8390;5030;4478;5.9;12.7;0;0
Quique Gonzalez;ESP;29;Eibar;La Liga;Falsch;8;1;4;124;315;7;4;88;0;0;1;2;0;2;2;0;1;184;800000;490;0.7;0;3;0;1;10;115;145;2040;14;0;48;2;3;2;519;220;275;0.3;0.7;0;0
Kai Proger;GER;27;Paderborn 07;Bundesliga;Falsch;34;6;112;623;741;47;17;333;0;2;1;14;2;8;9;2;14;828;1400000;2079;2.9;0;71;28;4;28;527;526;2025;85;5;132;44;58;23;5962;3605;2606;3.6;2.9;2;0
Edgar Barreto;PAR;35;Sampdoria;Serie A;Falsch;3;0;0;33;32;1;0;28;0;0;0;0;0;1;0;0;0;40;400000;90;0;0;0;0;0;1;19;28;205;2;0;6;5;5;2;89;37;105;0;0;0;0
Roberto Soriano;ITA;28;Bologna;Serie A;Falsch;148;5;41;1227;1388;31;20;1031;0;3;0;5;3;8;12;5;10;1459;6500000;2469;3.8;1;29;0;8;87;455;1158;2371;106;2;134;52;62;37;8139;4204;5019;5.3;3.8;0;0
Alvaro Gonzalez;ESP;29;Marseille;Ligue 1;Falsch;35;0;2;849;723;11;104;753;0;0;0;1;0;1;0;0;13;994;6500000;1628;1;0;1;0;0;10;82;714;984;12;0;22;18;31;8;3953;2089;4891;0.5;1;0;0
Gabriel Paulista;BRA;28;Valencia;La Liga;Falsch;61;1;7;1708;1344;49;218;1520;0;0;0;0;0;0;1;1;24;1961;17500000;2801;0.7;0;6;0;1;6;117;1327;1907;6;0;41;16;40;9;7960;4184;10621;0;0.7;0;0
Lucas Perez;ESP;30;Alavés;La Liga;Falsch;66;5;46;705;1123;13;5;448;0;0;1;4;0;4;9;11;4;766;12000000;2496;6.1;0;22;33;6;44;391;594;1951;91;6;107;12;16;10;3612;1737;2767;5.9;9.9;2;0
Yusuf Yazici;TUR;22;Lille;Ligue 1;Falsch;32;4;33;451;470;12;5;314;1;1;0;5;0;1;5;1;2;480;13000000;848;1.1;0;18;20;2;16;248;371;2683;44;1;65;17;19;12;2441;1319;1778;2.7;1.9;2;0
Roberto Torres;ESP;30;Osasuna;La Liga;Falsch;116;8;53;1118;1202;57;50;722;1;1;0;3;0;4;10;7;22;1328;4000000;2717;4.3;0;33;20;6;56;383;924;2512;88;4;96;24;46;20;3987;2180;5056;5.7;8.1;3;0
Portu;ESP;27;Real Sociedad;La Liga;Falsch;51;7;25;664;1064;39;5;456;1;1;2;4;0;1;12;7;12;868;16000000;2393;5.1;0;10;4;9;55;435;628;2010;70;5;112;38;50;23;3862;2396;2195;5.3;5.9;0;0
Fede San Emeterio;ESP;22;Valladolid;La Liga;Falsch;40;0;3;683;531;32;25;558;0;0;0;0;0;0;1;0;18;803;3200000;1751;0;0;2;0;1;15;402;485;2222;16;1;108;27;45;17;1520;532;2518;0.2;0;0;0
Gaetan Belaud;FRA;32;Brest;Ligue 1;Falsch;32;0;7;365;269;15;16;286;0;0;0;0;0;0;0;0;11;367;400000;580;0.1;0;5;0;0;4;52;252;234;4;0;10;13;24;8;981;551;1789;0.3;0.1;0;0
Jeff Reine Adelaide;FRA;21;Angers / Lyon;Ligue 1;Falsch;44;2;53;463;550;7;3;395;0;1;2;5;0;1;6;3;4;549;22500000;862;1.4;0;41;2;4;29;199;454;4177;38;0;48;14;18;9;3618;2013;1469;2;1.4;0;0
Jonathan Tah;GER;23;Leverkusen;Bundesliga;Falsch;109;1;16;2023;1703;45;146;1831;0;0;0;0;0;0;3;0;28;2252;29500000;2092;0.2;1;14;1;2;11;240;1675;2439;13;0;82;39;67;18;9216;4601;11020;0.5;0.2;0;0
Franck Kessie;CIV;22;Milan;Serie A;Falsch;133;1;44;1718;1632;54;41;1531;0;1;1;6;0;0;4;4;18;1999;20000000;2904;2.6;0;32;0;2;62;589;1490;1264;72;3;163;52;70;33;8139;3807;6545;2.4;4.1;0;1
Shkodran Mustafi;GER;27;Arsenal;Premier League;Falsch;42;1;2;790;671;15;111;663;0;0;0;0;0;0;1;0;8;939;12000000;1207;0.8;0;2;0;0;2;108;659;1745;3;1;36;14;22;9;3454;2115;4622;0;0.8;0;1
Nuno Da Costa;CPV;28;Strasbourg;Ligue 1;Falsch;10;0;28;152;292;12;3;97;0;0;0;1;0;1;0;1;5;253;1600000;527;1.6;0;21;0;0;11;130;184;573;14;1;31;11;16;6;857;326;304;0.3;1.6;0;0
Gabriele Corbo;ITA;19;Bologna;Serie A;Falsch;7;0;0;59;48;2;9;53;0;0;0;0;0;0;0;0;1;73;725000;122;0;0;0;0;0;0;14;47;553;0;0;4;1;2;1;219;129;475;0;0;0;0
Mason Holgate;ENG;22;Everton;Premier League;Falsch;53;3;12;991;774;32;145;855;0;1;0;1;0;1;5;0;28;1233;13500000;2054;2.2;0;10;0;3;9;242;762;1110;18;6;77;50;78;28;5026;2906;6091;0.5;2.2;0;2
Hernani;BRA;25;Parma;Serie A;Falsch;95;4;57;1043;882;81;54;782;1;2;0;3;0;2;12;0;28;1279;3200000;2419;1.2;0;42;18;7;37;799;800;1088;64;2;190;75;103;47;5212;2775;4969;1.8;1.2;3;1
James McArthur;SCO;31;Crystal Palace;Premier League;Falsch;132;3;49;1474;1347;97;57;1153;0;1;0;3;3;4;9;0;40;1868;4800000;3090;2.5;0;33;0;5;51;932;1178;1608;61;2;263;110;150;70;6663;3188;6397;2.6;2.5;0;1
Angel Gomes;ENG;18;Manchester Utd;Premier League;Falsch;3;0;0;13;18;1;0;11;0;0;0;0;0;0;0;0;0;15;3600000;21;0;0;0;0;0;2;11;14;973;2;0;1;0;0;0;78;50;83;0.1;0;0;0
Ignacio Pussetto;ARG;23;Udinese / Watford;Serie A /  Premier League;Wahr;13;0;20;159;215;8;11;105;0;0;0;2;0;1;0;1;5;238;6500000;415;0.7;0;12;1;0;15;143;150;4067;19;0;30;12;17;6;1126;701;674;0.8;0.7;0;0
