Player,Nation,Age,Squad,Comp,played_two_leagues,#Prog_Pass,Ast,Att_Drib,Att_Pass,Att_Recep,Blocks,Clr,Cmp_Pass,Def_GCA,Def_SCA,Drib_GCA,Drib_SCA,F1,Fld_GCA,Fld_SCA,GCA,Gls,Int,Live_Touches,Marktvalue,Min,npxG,OG_GCA,Oppon_Drib,PassDead,PassDead_SCA,PassLive_GCA,PassLive_SCA,Press,Recep,Rk,SCA,Sh_SCA,Sh_SCA.1,Succ_Press,Tkl,Tkl+Int,TklW,TotDist_Carried,TotPrgDist_Carried,TotPrgDist_Pass,xA,xG
Joao Pedro,BRA,27,Cagliari,it Serie A,False,1,4,56,14,1375,43,38,10,0,0,0,1,1810,0,0,0,18,6,1244,18000000,3151,9,0,33,0,0,0,1,430,939,1921,2,0,0,104,22,28,16,4980,2421,37,2.7,13.6
Julian Baumgartlinger,AUT,31,Leverkusen,de Bundesliga,False,74,2,10,1141,1021,49,20,1030,0,0,0,0,207,0,1,4,2,13,1299,2400000,1791,1.8,0,9,0,0,4,28,434,939,223,32,0,3,152,43,56,29,3191,1210,3665,1.9,1.8
Christophe Herelle,MTQ,26,Nice,fr Ligue 1,False,57,0,11,883,770,21,28,793,0,0,0,1,1001,0,0,1,3,12,923,5500000,1103,1.2,0,5,0,0,1,7,74,746,1079,8,0,0,14,18,30,9,3455,2016,5210,0.3,1.2
Michael Keane,ENG,26,Everton,eng Premier League,False,71,0,0,1379,1064,52,208,1167,0,0,0,0,1175,0,0,1,2,24,1681,20000000,2559,1.7,0,0,0,0,1,10,190,1042,1255,10,0,0,66,41,65,26,5584,2880,8551,0.7,1.7
Jens Stryger Larsen,DEN,28,Udinese,it Serie A,False,137,3,32,1628,1342,38,50,1231,0,0,0,2,2258,0,0,4,1,15,1560,2800000,2789,1.6,0,23,0,2,4,48,336,1196,2411,52,0,0,85,39,54,22,5721,3065,10131,1.9,1.6
Willian,BRA,30,Chelsea,eng Premier League,False,144,7,86,1600,1730,22,11,1247,1,3,0,6,2490,1,6,14,9,16,1787,22500000,2600,4,0,65,1,31,10,98,525,1438,2667,148,1,4,150,43,59,27,12336,6893,5164,6.9,7.1
Kevin Denkey,TOG,18,Nîmes,fr Ligue 1,False,9,1,12,149,324,6,1,102,0,0,0,2,604,0,1,3,3,0,219,1800000,603,1.6,0,8,0,0,2,10,135,164,658,15,1,2,40,11,11,9,710,326,289,0.4,1.6
Ibrahima Konate,FRA,20,RB Leipzig,de Bundesliga,False,13,0,5,342,270,9,43,303,0,0,0,0,1215,0,0,0,0,5,408,40500000,569,0.1,0,4,0,0,0,3,56,264,1296,3,0,0,17,13,18,7,1810,1005,1597,0.1,0.1
Andre Zambo Anguissa,CMR,23,Villarreal,es La Liga,False,105,0,102,1498,1458,49,58,1333,1,3,1,5,2521,0,3,7,2,28,1854,20000000,2583,2.4,0,87,0,0,2,41,592,1292,2701,57,3,5,156,79,107,45,8337,3996,5597,0.8,2.4
Oscar Wendt,SWE,33,M'Gladbach,de Bundesliga,False,75,2,8,1063,749,61,58,803,0,0,0,0,2479,0,0,4,2,11,986,1200000,1680,1.3,0,5,1,5,3,24,273,670,2656,29,0,0,84,30,41,17,2545,1342,6772,2,1.3
Gianluca Mancini,ITA,23,Roma,it Serie A,False,97,0,14,1679,1410,49,119,1500,0,0,0,0,1428,0,1,5,1,32,1913,22500000,2740,2.7,0,10,0,0,4,20,393,1373,1522,24,1,3,112,55,87,35,8183,4651,10073,0.6,2.7
Roberto,ESP,33,West Ham / Alavés,eng Premier League / es La Liga,True,0,0,0,470,161,0,0,235,0,0,0,0,2585,0,0,0,0,0,349,800000,1477,0,0,0,0,0,0,1,1,160,4243,1,0,0,0,1,1,1,1038,644,9095,0,0
Chadrac Akolo,COD,24,Amiens,fr Ligue 1,False,26,1,19,206,256,8,4,172,1,3,1,2,37,0,1,4,2,5,278,1600000,544,1,0,12,0,0,1,9,140,196,40,17,1,2,43,17,22,13,1065,607,811,1.2,1
Arkadiusz Milik,POL,25,Napoli,it Serie A,False,21,0,24,468,824,13,13,388,0,0,1,3,1565,0,1,6,11,1,626,32000000,1747,10.2,0,15,0,1,4,36,286,517,1661,47,1,6,73,16,17,9,1762,757,687,2.1,10.2
Lionel Messi,ARG,32,Barcelona,es La Liga,False,319,21,274,2142,2616,7,1,1700,0,0,5,37,1554,2,27,36,25,4,2411,112000000,2880,15.4,0,193,5,18,22,126,287,2229,1650,220,2,12,87,13,17,9,14619,9239,9544,15.3,19.2
Aaron Escandell,ESP,23,Granada,es La Liga,False,0,0,0,128,45,0,0,77,0,0,0,0,720,0,0,0,0,0,95,300000,270,0,0,0,0,0,0,2,1,45,785,2,0,0,0,0,0,0,425,285,2005,0,0
Muhamed Besic,BIH,26,Sheffield Utd,eng Premier League,False,9,0,10,106,96,4,5,86,0,0,0,0,268,0,0,0,0,2,136,2400000,250,0.1,0,9,0,0,0,3,71,84,290,3,0,0,17,9,11,6,489,174,328,0.1,0.1
Emre Can,GER,25,Dortmund / Juventus,de Bundesliga / it Serie A,True,51,0,35,903,854,25,25,793,0,0,1,3,806,0,1,2,2,12,1049,24000000,1239,2.2,0,24,0,1,1,15,239,804,875,21,0,1,83,35,47,22,4399,2238,3448,1,2.2
Juan Villar,ESP,31,Osasuna,es La Liga,False,7,0,1,87,152,3,0,60,0,0,0,0,2444,0,0,2,1,0,108,650000,240,0.4,0,1,0,0,2,5,39,88,2615,6,0,1,10,0,0,0,281,110,214,0.2,1.1
Santi Mina,ESP,23,Celta Vigo,es La Liga,False,54,3,30,706,1198,24,27,500,0,0,1,4,1571,2,5,7,6,11,969,14500000,1944,5.8,0,13,0,1,3,34,405,752,1667,49,1,5,101,14,25,8,2907,1681,1928,2.4,5.8
James Justin,ENG,21,Leicester City,eng Premier League,False,52,1,17,801,661,25,31,650,0,1,0,0,1145,0,3,2,0,8,834,3600000,1012,0.4,0,14,0,0,2,20,159,606,1225,24,0,0,58,36,44,20,2897,1685,3624,1.1,0.4
Pape Cheikh,SEN,21,Celta Vigo,es La Liga,False,19,1,8,264,268,3,4,238,0,0,1,1,453,2,3,4,0,2,315,5500000,599,0.1,0,6,0,0,1,7,143,228,501,11,0,0,38,12,14,6,1626,871,947,0.3,0.1
Paulo Gazzaniga,ARG,27,Tottenham,eng Premier League,False,0,0,0,516,231,0,0,319,0,0,0,0,858,0,0,0,0,0,391,2800000,1613,0,0,0,0,1,0,3,1,229,932,4,0,0,0,0,0,0,909,496,6260,0.4,0
Islam Slimani,ALG,31,Monaco,fr Ligue 1,False,67,7,27,543,883,7,8,385,0,1,3,5,2201,0,1,12,9,2,708,6500000,1285,9.3,0,14,0,0,8,42,208,588,2348,53,1,4,54,10,12,7,2105,1045,1885,4.2,10
Christoph Baumgartner,AUT,19,Hoffenheim,de Bundesliga,False,33,2,55,496,737,31,10,354,0,1,0,5,208,0,5,4,7,10,741,5400000,1493,7.9,0,26,1,2,1,31,411,547,224,51,2,7,115,35,45,21,3423,2008,1138,2.2,7.9
Ethan Ampadu,WAL,18,RB Leipzig,de Bundesliga,False,1,0,0,78,69,2,7,74,0,0,0,0,73,0,0,0,0,0,92,9000000,81,0.2,0,0,0,0,0,0,15,69,81,0,0,0,8,5,5,3,369,237,445,0,0.2
Sebastian Rode,GER,28,Eint Frankfurt,de Bundesliga,False,111,3,21,1209,1038,36,15,1025,0,2,0,1,1999,0,5,5,3,29,1363,4000000,1936,0.9,0,15,2,5,3,43,573,917,2131,57,0,1,163,65,94,41,5454,2918,4865,1.5,0.9
Mert Cetin,TUR,22,Roma,it Serie A,False,2,0,3,135,115,7,8,126,0,0,0,0,1551,0,0,0,0,2,160,1600000,257,0.3,0,3,0,0,0,0,31,110,1647,0,0,0,10,5,7,3,563,303,697,0,0.3
Haris Duljevic,BIH,25,Nîmes,fr Ligue 1,False,10,3,19,162,238,7,1,114,0,0,1,3,683,0,0,6,0,2,226,800000,520,0.9,0,13,0,0,5,20,98,161,745,24,0,1,37,12,14,9,1570,945,362,1.4,0.9
Jonathan Silva,ARG,25,Leganés,es La Liga,False,110,2,30,1365,1026,29,86,942,0,0,0,3,2172,0,2,3,1,26,1336,3200000,2785,1.6,0,20,1,5,2,35,405,896,2319,46,0,1,105,53,79,19,4536,2656,9563,2.1,1.6
Javi Martinez,ESP,19,Osasuna,es La Liga,False,0,0,0,5,7,0,1,4,0,0,0,0,1475,0,0,0,0,0,9,13000000,10,0,0,0,0,0,0,1,1,7,1571,1,0,0,1,0,0,0,58,23,11,0,0
Nuno Da Costa,CPV,28,Strasbourg,fr Ligue 1,False,10,0,28,152,292,12,3,97,0,0,0,1,528,0,1,0,1,5,253,1600000,527,1.6,0,21,0,0,0,11,130,184,573,14,0,1,31,11,16,6,857,326,304,0.3,1.6
Victor Campuzano,ESP,22,Espanyol,es La Liga,False,8,0,15,151,394,5,4,99,0,0,0,2,395,0,4,1,0,1,253,2400000,870,1.4,1,11,0,0,0,6,215,171,436,17,0,4,53,14,15,13,1280,777,324,0.1,1.4
Mark Travers,IRL,20,Bournemouth,eng Premier League,False,0,0,0,32,17,0,0,23,0,0,0,0,2364,0,0,0,0,0,24,250000,90,0,0,0,0,0,0,0,0,17,2533,0,0,0,0,0,0,0,62,30,479,0,0
Gianluigi Buffon,ITA,41,Juventus,it Serie A,False,0,0,0,212,98,0,0,195,0,0,0,0,348,0,0,0,0,0,162,1000000,810,0,0,0,0,0,0,2,1,96,385,2,0,0,0,0,0,0,425,250,2506,0.2,0
